dom;18/11/2012;;;;;;;;;;;
seg;19/11/2012;;07:15;12:00;13:00;17:49;;;;;;
ter;20/11/2012;;07:12;12:00;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
qua;21/11/2012;Falta;;;;;;;;;;
qui;22/11/2012;;12:27;17:31;;;;;;;;
sex;23/11/2012;;07:19;12:00;13:00;16:16;;;;;;
sáb;24/11/2012;;;;;;;;;;;
dom;25/11/2012;;;;;;;;;;;
seg;26/11/2012;;07:12;12:00;13:00;18:12;;;;;;
ter;27/11/2012;;07:15;12:00;13:00;17:42;;;;;;
qua;28/11/2012;;07:14;12:00;13:00;17:21;;;;;;
qui;29/11/2012;;07:23;12:00;13:00;17:40;;;;;;
sex;30/11/2012;;12:40;16:41;;;;;;;;
sáb;1/12/2012;;07:14;12:05;;;;;;;;
dom;2/12/2012;;;;;;;;;;;
seg;3/12/2012;;07:21;12:00;13:00;17:28;;;;;;
ter;4/12/2012;;07:19;12:00;13:00;17:41;;;;;;
qua;5/12/2012;;07:19;12:00;13:00;17:19;;;;;;
qui;6/12/2012;;07:22;12:00;13:00;17:31;;;;;;
sex;7/12/2012;;07:23;12:00;13:00;16:19;;;;;;
sáb;8/12/2012;;;;;;;;;;;
dom;9/12/2012;;;;;;;;;;;
seg;10/12/2012;;07:16;12:00;13:00;18:10;;;;;;
ter;11/12/2012;;08:00;12:00;13:00;17:25;;;;;;
qua;12/12/2012;;07:21;12:00;13:00;17:12;;;;;;
qui;13/12/2012;;07:18;12:00;13:00;17:31;;;;;;
sex;14/12/2012;;07:21;12:00;13:00;16:16;;;;;;
sáb;15/12/2012;;;;;;;;;;;
dom;16/12/2012;;;;;;;;;;;
seg;17/12/2012;;07:18;12:00;13:00;17:57;;;;;;
ter;18/12/2012;;07:27;12:00;13:00;17:16;;;;;;
qua;19/12/2012;;07:22;12:00;13:00;15:54;;;;;;
qui;20/12/2012;;07:29;12:00;13:00;17:15;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
sex;21/12/2012;Falta;;;;;;;;;;
sáb;22/12/2012;;;;;;;;;;;
dom;23/12/2012;;;;;;;;;;;
seg;24/12/2012;Compens.;;;;;;;;;;
ter;25/12/2012;Feriado;;;;;;;;;;
qua;26/12/2012;ferias;;;;;;;;;;
qui;27/12/2012;ferias;;;;;;;;;;
sex;28/12/2012;ferias;;;;;;;;;;
sáb;29/12/2012;ferias;;;;;;;;;;
dom;30/12/2012;ferias;;;;;;;;;;
seg;31/12/2012;ferias;;;;;;;;;;
ter;1/1/2013;ferias;;;;;;;;;;
qua;2/1/2013;ferias;;;;;;;;;;
qui;3/1/2013;ferias;;;;;;;;;;
sex;4/1/2013;ferias;;;;;;;;;;
sáb;5/1/2013;;;;;;;;;;;
dom;6/1/2013;;;;;;;;;;;
seg;7/1/2013;;07:16;12:00;13:00;17:28;;;;;;
ter;8/1/2013;;07:26;12:00;13:00;17:37;;;;;;
qua;9/1/2013;;07:23;12:00;13:00;17:16;;;;;;
qui;10/1/2013;;07:25;12:00;13:00;17:15;;;;;;
sex;11/1/2013;;07:22;12:00;;;;;;;;
sáb;12/1/2013;;;;;;;;;;;
dom;13/1/2013;;;;;;;;;;;
seg;14/1/2013;;07:12;12:00;13:00;17:16;;;;;;
ter;15/1/2013;;07:25;12:00;13:00;17:19;;;;;;
qua;16/1/2013;;07:20;12:00;13:00;17:18;;;;;;
qui;17/1/2013;;07:27;12:00;13:00;17:20;;;;;;
sex;18/1/2013;;07:37;12:00;13:00;16:16;;;;;;
sáb;19/1/2013;;;;;;;;;;;
dom;20/1/2013;;;;;;;;;;;
Soma;;;;;;;;;;;;
