sex;08/08/2014;;16:34;22:15;23:15;02:17;;
s�b;09/08/2014;;;;;;;
dom;10/08/2014;;;;;;;
seg;11/08/2014;;;;;;;
ter;12/08/2014;;;;;;;
qua;13/08/2014;;16:33;20:40;;;;
qui;14/08/2014;;;;;;;
sex;15/08/2014;;;;;;;
s�b;16/08/2014;;06:52;12:22;12:51;18:00;;
dom;17/08/2014;;;;;;;
seg;18/08/2014;;16:33;22:15;23:15;02:19;;
ter;19/08/2014;;16:34;22:15;23:15;02:16;;
qua;20/08/2014;;16:33;22:15;23:15;02:13;;
Soma;;;;;;;;
qui;21/08/2014;;16:35;22:15;23:15;02:14;;
sex;22/08/2014;;16:35;22:15;23:15;02:02;;
s�b;23/08/2014;;;;;;;
dom;24/08/2014;;;;;;;
seg;25/08/2014;;17:45;22:00;23:00;03:19;;
ter;26/08/2014;;17:46;22:00;23:00;03:16;;
qua;27/08/2014;;18:00;22:00;23:00;03:18;;
qui;28/08/2014;;17:46;22:00;23:00;03:16;;
sex;29/08/2014;;17:41;21:00;22:00;02:20;;
s�b;30/08/2014;;;;;;;
dom;31/08/2014;;;;;;;
seg;01/09/2014;;18:00;22:00;23:00;03:19;;
ter;02/09/2014;;18:00;22:00;23:00;03:14;;
qua;03/09/2014;;18:00;22:00;23:00;03:18;;
qui;04/09/2014;Falta;;;;;;
sex;05/09/2014;;17:53;21:00;22:00;02:20;;
s�b;06/09/2014;;;;;;;
dom;07/09/2014;Feriado;;;;;;
seg;08/09/2014;;18:00;22:00;23:00;03:17;;
ter;09/09/2014;;17:50;22:00;23:00;03:14;;
qua;10/09/2014;;17:53;22:00;23:00;03:13;;
qui;11/09/2014;;17:51;22:00;23:00;03:19;;
sex;12/09/2014;;17:41;21:00;22:00;02:20;;
s�b;13/09/2014;;;;;;;
dom;14/09/2014;;;;;;;
seg;15/09/2014;;17:54;22:00;23:00;03:13;;
ter;16/09/2014;;17:56;22:00;23:00;03:15;;
qua;17/09/2014;;17:48;22:00;23:00;03:14;;
qui;18/09/2014;;17:49;22:00;23:00;03:13;;
sex;19/09/2014;;17:46;21:00;22:00;03:14;;
s�b;20/09/2014;Feriado;;;;;;
Soma;;;;;;;;
dom;21/09/2014;;;;;;;
seg;22/09/2014;;17:54;22:00;23:00;03:13;;
ter;23/09/2014;;17:48;22:00;23:00;03:12;;
