ter;22/04/2014;;15:57;21:01;22:04;02:19;;;
qua;23/04/2014;;16:03;20:56;21:57;01:47;;;
qui;24/04/2014;;16:12;21:10;22:14;01:58;;;
sex;25/04/2014;;16:14;21:00;22:04;03:15;;;
sáb;26/04/2014;;;;;;;;
dom;27/04/2014;;;;;;;;
seg;28/04/2014;;16:10;20:58;21:59;02:05;;;
ter;29/04/2014;;16:14;20:50;21:52;02:33;;;
qua;30/04/2014;;16:06;21:09;22:10;02:11;;;
qui;01/05/2014;;;;;;;;
sex;02/05/2014;;15:52;21:19;22:21;01:46;;;
sáb;03/05/2014;;;;;;;;
dom;04/05/2014;;;;;;;;
seg;05/05/2014;;15:53;21:12;22:17;02:16;;;
ter;06/05/2014;;15:29;20:40;21:41;01:53;;;
qua;07/05/2014;;16:11;20:52;21:52;02:48;;;
qui;08/05/2014;;16:13;21:00;22:02;01:40;;;
sex;09/05/2014;;15:52;20:59;22:01;02:10;;;
sáb;10/05/2014;;;;;;;;
dom;11/05/2014;;;;;;;;
seg;12/05/2014;;16:12;21:07;22:09;02:10;;;
ter;13/05/2014;;16:13;20:50;21:50;01:45;;;
qua;14/05/2014;;16:12;21:09;22:11;01:48;;;
qui;15/05/2014;;16:05;21:14;22:14;02:00;;;
sex;16/05/2014;;16:05;21:17;22:17;02:04;;;
sáb;17/05/2014;;;;;;;;
dom;18/05/2014;;;;;;;;
seg;19/05/2014;;16:12;21:00;22:02;02:02;;;
ter;20/05/2014;;16:13;21:02;22:02;02:00;;;
Soma;;;;;;;;;
qua;21/05/2014;;16:13;21:00;22:06;01:41;;;
qui;22/05/2014;;15:49;21:06;22:08;01:48;;;
sex;23/05/2014;;;;;;;;
sáb;24/05/2014;;;;;;;;
dom;25/05/2014;;;;;;;;
seg;26/05/2014;;16:13;20:56;21:56;01:52;;;
ter;27/05/2014;;16:02;20:51;21:52;01:31;;;
qua;28/05/2014;;16:13;21:05;22:05;01:32;;;
qui;29/05/2014;;16:10;21:00;22:04;01:38;;;
sex;30/05/2014;;16:13;20:54;21:54;01:52;;;
sáb;31/05/2014;;;;;;;;
dom;01/06/2014;;;;;;;;
seg;02/06/2014;;15:48;21:10;22:12;01:40;;;
ter;03/06/2014;;16:09;21:00;22:02;01:35;;;
qua;04/06/2014;;16:12;20:50;21:53;01:37;;;
qui;05/06/2014;;16:12;20:56;21:59;01:35;;;
sex;06/06/2014;;16:14;20:55;21:58;02:12;;;
sáb;07/06/2014;;;;;;;;
dom;08/06/2014;;;;;;;;
seg;09/06/2014;;16:00;20:52;21:52;01:25;;;
ter;10/06/2014;;16:13;20:50;21:54;01:39;;;
qua;11/06/2014;;15:55;21:01;22:05;01:44;;;
