Horarios: 48-49-66	Observação
28/5/2009	
3/6/2009	
4/6/2009	
10/6/2009	
11/6/2009	Feriado
17/6/2009	
18/6/2009	
24/6/2009	
25/6/2009	
1/7/2009	
2/7/2009	
8/7/2009	
9/7/2009	
Horários: 57	
5/3/2009	
12/3/2009	
19/3/2009	
26/3/2009	
2/4/2009	
9/4/2009	
16/4/2009	
23/4/2009	
30/4/2009	
7/5/2009	
14/5/2009	
21/5/2009	
28/5/2009	
4/6/2009	
11/6/2009	Feriado
18/6/2009	
25/6/2009	
2/7/2009	
9/7/2009	
Horários: 44-45-55	
4/8/2010	Falta
5/8/2010	Falta
11/8/2010	Falta
12/8/2010	Atestado
18/8/2010	Atestado
19/8/2010	Atestado
25/8/2010	Atestado
26/8/2010	Falta
1/9/2010	Falta
2/9/2010	Falta
8/9/2010	Falta
9/9/2010	Falta
15/9/2010	Falta
16/9/2010	Falta
22/9/2010	Falta
23/9/2010	Falta
29/9/2010	Falta
30/9/2010	Falta
6/10/2010	Falta
7/10/2010	Falta
13/10/2010	Falta
14/10/2010	Falta
20/10/2010	Falta
21/10/2010	Falta
27/10/2010	Falta
28/10/2010	Falta
3/11/2010	Falta
4/11/2010	Falta
10/11/2010	Falta
11/11/2010	Falta
17/11/2010	Falta
18/11/2010	Falta
24/11/2010	Falta
25/11/2010	Falta
1/12/2010	Falta
2/12/2010	Falta
8/12/2010	Falta
9/12/2010	Falta
Horários: 30-31-32	
3/8/2010	Falta
10/8/2010	Falta
17/8/2010	Atestado
24/8/2010	Atestado
31/8/2010	Falta
7/9/2010	Feriado
14/9/2010	Falta
21/9/2010	Falta
28/9/2010	Falta
5/10/2010	Falta
12/10/2010	Feriado
19/10/2010	Falta
26/10/2010	Falta
2/11/2010	Feriado
9/11/2010	Falta
16/11/2010	Falta
23/11/2010	Falta
30/11/2010	Falta
7/12/2010	Falta
14/12/2010	Falta
Horários: 50-51-52	
5/8/2010	Falta
12/8/2010	Atestado
19/8/2010	Atestado
26/8/2010	Falta
2/9/2010	Falta
9/9/2010	Falta
16/9/2010	Falta
23/9/2010	Falta
30/9/2010	Falta
7/10/2010	Falta
14/10/2010	Falta
21/10/2010	Falta
28/10/2010	Falta
4/11/2010	Falta
11/11/2010	Falta
18/11/2010	Falta
25/11/2010	Falta
2/12/2010	Falta
9/12/2010	Falta
