seg;27/10/2014;;07:23;12:01;12:52;17:23
ter;28/10/2014;;07:22;12:01;12:56;17:23
qua;29/10/2014;;07:23;12:00;12:56;17:22
qui;30/10/2014;;07:22;12:01;12:55;17:22
sex;31/10/2014;;;;;
sáb;1/11/2014;;;;;
dom;2/11/2014;Feriado;;;;
seg;3/11/2014;;07:21;12:01;12:53;17:22
ter;4/11/2014;;07:25;12:01;12:53;17:21
qua;5/11/2014;;07:21;12:02;12:55;17:20
qui;6/11/2014;;07:22;12:02;12:51;17:21
sex;7/11/2014;;07:21;12:01;12:54;17:21
sáb;8/11/2014;;;;;
dom;9/11/2014;;;;;
seg;10/11/2014;;07:21;12:01;12:53;17:22
ter;11/11/2014;;07:22;12:01;12:55;17:22
qua;12/11/2014;;07:21;12:01;12:53;17:21
qui;13/11/2014;;07:22;12:01;12:53;17:21
sex;14/11/2014;Atestado;;;;
sáb;15/11/2014;Feriado;;;;
dom;16/11/2014;;;;;
seg;17/11/2014;;07:23;12:01;12:54;17:21
ter;18/11/2014;;07:22;12:04;12:51;17:24
qua;19/11/2014;Atestado P.;07:39;12:01;12:56;17:22
qui;20/11/2014;;07:59;12:01;12:55;17:22
sex;21/11/2014;;07:21;12:04;12:56;17:23
sáb;22/11/2014;;08:00;16:45;;
dom;23/11/2014;;;;;
seg;24/11/2014;;07:22;12:01;12:52;17:21
ter;25/11/2014;;07:22;12:02;12:53;17:22
Soma;;;;;;
qua;26/11/2014;;07:22;12:01;12:50;17:21
qui;27/11/2014;;07:20;12:01;12:55;17:21
sex;28/11/2014;;07:20;12:01;12:54;17:21
sáb;29/11/2014;;;;;
dom;30/11/2014;;;;;
seg;1/12/2014;;07:22;12:02;12:50;17:21
ter;2/12/2014;;07:21;12:01;12:53;17:21
qua;3/12/2014;;07:21;12:01;12:53;17:22
qui;4/12/2014;;07:32;12:02;12:54;15:34
sex;5/12/2014;;07:23;12:01;12:55;17:21
sáb;6/12/2014;;;;;
dom;7/12/2014;;;;;
seg;8/12/2014;;07:22;12:01;12:52;17:22
ter;9/12/2014;;07:20;12:01;12:52;17:23
qua;10/12/2014;;07:23;12:01;12:55;17:22
qui;11/12/2014;;07:22;12:01;12:53;17:23
sex;12/12/2014;;07:22;12:01;12:56;17:23
sáb;13/12/2014;;06:50;11:33;;
dom;14/12/2014;;;;;
seg;15/12/2014;;;;;
Soma;;;;;;
ter;16/12/2014;;07:25;12:01;12:54;17:21
qua;17/12/2014;;07:23;12:01;12:55;17:22
qui;18/12/2014;;07:25;12:01;12:55;17:21
sex;19/12/2014;;07:25;12:01;;
sáb;20/12/2014;;;;;
dom;21/12/2014;;;;;
seg;22/12/2014;ferias;;;;
ter;23/12/2014;ferias;;;;
qua;24/12/2014;ferias;;;;
qui;25/12/2014;ferias;;;;
sex;26/12/2014;ferias;;;;
sáb;27/12/2014;ferias;;;;
dom;28/12/2014;ferias;;;;
seg;29/12/2014;ferias;;;;
ter;30/12/2014;ferias;;;;
qua;31/12/2014;ferias;;;;
qui;1/1/2015;ferias;;;;
sex;2/1/2015;ferias;;;;
sáb;3/1/2015;ferias;;;;
dom;4/1/2015;ferias;;;;
seg;5/1/2015;ferias;;;;
ter;6/1/2015;ferias;;;;
qua;7/1/2015;ferias;;;;
qui;8/1/2015;ferias;;;;
sex;9/1/2015;ferias;;;;
sáb;10/1/2015;ferias;;;;
dom;11/1/2015;ferias;;;;
seg;12/1/2015;ferias;;;;
ter;13/1/2015;ferias;;;;
qua;14/1/2015;ferias;;;;
qui;15/1/2015;ferias;;;;
sex;16/1/2015;ferias;;;;
sáb;17/1/2015;ferias;;;;
dom;18/1/2015;ferias;;;;
seg;19/1/2015;ferias;;;;
ter;20/1/2015;ferias;;;;
qua;21/1/2015;;07:22;12:01;12:52;19:01
qui;22/1/2015;;07:23;12:01;12:54;15:02
sex;23/1/2015;;07:21;12:01;12:55;17:22
sáb;24/1/2015;;06:55;11:03;;
dom;25/1/2015;;;;;
Soma;;;;;;
seg;26/1/2015;;07:21;12:01;12:53;17:22
ter;27/1/2015;;07:22;12:01;12:52;17:22
qua;28/1/2015;;07:22;12:02;12:51;17:23
qui;29/1/2015;;07:22;12:01;12:52;17:23
sex;30/1/2015;;07:21;12:01;12:54;17:23
sáb;31/1/2015;;07:27;10:30;;
dom;1/2/2015;;;;;
seg;2/2/2015;;07:22;12:03;12:53;17:23
ter;3/2/2015;;07:21;12:01;12:52;17:23
qua;4/2/2015;Atestado;;;;
qui;5/2/2015;;07:22;12:01;12:52;17:22
sex;6/2/2015;;07:23;12:01;12:53;17:22
sáb;7/2/2015;;06:50;10:30;;
dom;8/2/2015;;;;;
seg;9/2/2015;;;;;
ter;10/2/2015;;07:20;12:01;12:53;17:23
qua;11/2/2015;;07:21;12:01;12:52;17:22
qui;12/2/2015;;07:21;12:01;12:53;17:18
sex;13/2/2015;;07:22;12:01;12:55;17:26
sáb;14/2/2015;;07:21;12:01;12:55;17:24
dom;15/2/2015;;;;;
seg;16/2/2015;;07:21;12:01;12:52;17:22
ter;17/2/2015;Feriado;07:21;12:01;12:53;17:23
qua;18/2/2015;;07:22;12:01;12:55;17:22
qui;19/2/2015;;07:22;12:01;12:52;17:22
sex;20/2/2015;;07:22;12:01;12:55;17:23
sáb;21/2/2015;;;;;
dom;22/2/2015;;;;;
seg;23/2/2015;;07:20;12:00;12:53;17:25
ter;24/2/2015;;07:21;12:01;12:56;17:20
qua;25/2/2015;;07:21;12:01;12:54;17:22
Soma;;;;;;
qui;26/2/2015;;07:20;12:01;12:55;17:21
sex;27/2/2015;;07:21;12:01;12:56;14:57
sáb;28/2/2015;;;;;
dom;1/3/2015;;;;;
seg;2/3/2015;;07:20;12:00;12:54;17:21
ter;3/3/2015;;07:40;12:01;12:55;17:22
qua;4/3/2015;;07:21;12:01;12:55;17:20
qui;5/3/2015;;07:21;12:03;12:54;17:24
sex;6/3/2015;Atestado;;;;
sáb;7/3/2015;;;;;
dom;8/3/2015;;;;;
seg;9/3/2015;;07:21;12:01;12:55;17:22
ter;10/3/2015;;07:21;12:01;12:56;17:23
qua;11/3/2015;;07:21;12:01;12:55;17:22
qui;12/3/2015;;07:23;12:01;12:53;17:23
sex;13/3/2015;;07:24;12:01;12:56;17:24
sáb;14/3/2015;;;;;
dom;15/3/2015;;;;;
seg;16/3/2015;;07:21;12:01;12:55;17:23
ter;17/3/2015;;07:22;12:01;13:00;17:22
qua;18/3/2015;Atestado P.;07:40;12:01;12:55;17:22
qui;19/3/2015;;07:21;12:03;12:55;17:23
sex;20/3/2015;;07:21;12:01;12:56;17:27
sáb;21/3/2015;;;;;
dom;22/3/2015;;;;;
seg;23/3/2015;;07:22;12:01;;
ter;24/3/2015;;07:38;12:01;12:55;18:48
qua;25/3/2015;;07:22;12:01;12:56;18:55
Soma;;;;;;
qui;26/3/2015;;07:24;12:01;12:53;17:22
sex;27/3/2015;;07:30;12:00;13:00;17:18
sáb;28/3/2015;;;;;
dom;29/3/2015;;;;;
seg;30/3/2015;;07:30;12:00;13:00;17:18
ter;31/3/2015;;07:30;12:00;13:00;17:18
qua;1/4/2015;;07:30;12:01;12:53;17:20
qui;2/4/2015;;07:22;12:02;12:56;17:21
sex;3/4/2015;Feriado;;;;
sáb;4/4/2015;;;;;
dom;5/4/2015;Feriado;;;;
seg;6/4/2015;;07:21;12:01;12:53;15:04
ter;7/4/2015;;07:23;12:01;12:55;17:21
qua;8/4/2015;;07:25;12:01;12:56;18:50
qui;9/4/2015;;07:25;12:01;12:56;18:52
sex;10/4/2015;;07:21;12:01;;
sáb;11/4/2015;;;;;
dom;12/4/2015;;;;;
seg;13/4/2015;;07:24;12:01;12:55;17:18
ter;14/4/2015;;07:30;12:01;12:55;18:49
qua;15/4/2015;;07:26;12:01;12:56;17:22
qui;16/4/2015;;07:24;12:02;12:57;17:23
sex;17/4/2015;;07:21;12:01;12:55;17:21
sáb;18/4/2015;;;;;
dom;19/4/2015;;;;;
seg;20/4/2015;;07:20;12:02;12:53;17:21
ter;21/4/2015;Feriado;;;;
qua;22/4/2015;;07:21;12:01;12:57;17:25
qui;23/4/2015;;07:20;12:01;12:55;17:21
sex;24/4/2015;;07:21;12:01;12:55;17:26
sáb;25/4/2015;;;;;
Soma;;;;;;
dom;26/4/2015;;;;;
seg;27/4/2015;;07:22;12:01;12:56;17:20
ter;28/4/2015;;07:26;12:00;12:55;17:24
qua;29/4/2015;;07:21;12:01;12:55;17:24
qui;30/4/2015;;06:53;12:33;;
sex;1/5/2015;Feriado;;;;
sáb;2/5/2015;;;;;
dom;3/5/2015;;;;;
seg;4/5/2015;;07:28;12:01;12:55;17:22
ter;5/5/2015;;07:24;12:01;12:55;17:20
qua;6/5/2015;;07:23;12:01;12:56;15:06
qui;7/5/2015;;07:24;12:03;12:55;17:22
sex;8/5/2015;;07:25;12:01;12:55;17:23
sáb;9/5/2015;;;;;
dom;10/5/2015;;;;;
seg;11/5/2015;;07:24;12:01;12:56;17:21
ter;12/5/2015;;07:24;12:01;12:55;17:21
qua;13/5/2015;;07:24;12:01;12:55;17:23
qui;14/5/2015;;07:23;12:01;12:57;17:21
sex;15/5/2015;;07:23;12:01;12:50;17:21
sáb;16/5/2015;;;;;
dom;17/5/2015;;;;;
seg;18/5/2015;;07:23;12:00;12:55;17:21
ter;19/5/2015;;07:23;12:02;12:55;17:21
qua;20/5/2015;;07:22;12:01;12:55;17:21
qui;21/5/2015;;07:22;12:01;12:55;17:23
